symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
MEF2A	0.45990697921471685	No data	No data	0.7447152270742359	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23593663141043167	No data	No data	No data	0	0	0	0	0	0.79208	No data	-0.7755782454678057	-0.7277052597941727	0	No data	No data	0	-1	-1
COL4A2	0.453600758691284	0.7371168168941065	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18043975680977378	No data	No data	1	0	1	0	0	0	0.17931999999999987	No data	-0.39560325067722446	-0.8622969138583105	0	No data	No data	0	0.5	0
HHIPL1	0.4505030014012761	0.736407756883063	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.09270944663577223	No data	No data	No data	0	1	0	0	0	0.11125499999999988	No data	-0.07480725151073142	-0.6823217603498793	0	No data	No data	0	0.5	0
LDLR	0.44926673118516613	0.49271389311795705	0.6089019389673405	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3118160851358924	No data	No data	No data	1	0	1	1	1	0	No data	0.26776411752448426	-0.9668846512616119	0	-1	No data	0	0.5	-1
PPARA	0.44602442917353524	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7143186871936548	No data	No data	No data	No data	No data	No data	0.38715261556887803	No data	No data	1	0	0	1	1	1	0.6153849999999998	1	-0.3431964992706814	-0.958608377590221	0	-1	No data	-0.0064099999999999826	0.5	-1
GUCY1A1	0.44445903404780857	0.5938440973281619	No data	0.547137717850459	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.021277577916406734	No data	No data	1	0	0	1	1	0	0.47101499999999985	No data	-0.08699729110231302	-0.8817031133364256	0	No data	No data	0	-1	-1
NPC1L1	0.4380445227650428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7143186871936548	No data	No data	No data	No data	No data	No data	0.12462581351038234	No data	No data	1	1	0	1	1	0	0	No data	0.03313190247968323	-0.7848781660384915	0	No data	No data	0	0.75	0.5
SLC12A1	0.4342563292545246	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7143186871936548	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.6405799999999999	No data	-0.10950197957907892	-0.8805151205594488	0	No data	No data	-0.10600500000000004	1	1
APOE	0.4328765878165301	0.6805738874522089	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6295045968798377	No data	No data	No data	0	1	0	0	0	0	No data	0.1554490518858096	-0.9832350084989555	0	-1	No data	0	0.75	-1
LRP8	0.419355813200713	No data	No data	0.3039653988058105	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2648845086508306	No data	No data	No data	1	1	0	0	0	0.4963650000000001	No data	-0.8574703063138154	-0.3357366215955848	0	No data	No data	0	0.5	0
LPL	0.41886986396002485	0.6657667095114455	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4648482122958438	No data	No data	No data	0	1	1	1	0	0.6210549999999998	No data	0.228068347572411	-0.9102451538647246	0	-1	No data	0	0.5	0
SLC22A3	0.4174906660407505	0.6840047556865549	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.0547137717850459	No data	No data	No data	0	0	1	1	0	0.33453500000000036	No data	0.1549281100229214	-0.26691729925385765	0	No data	No data	0	0.5	0
KCNK5	0.4048578068475171	0.664288540461689	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.4689399999999999	No data	-0.4553031881642009	-0.5907693915496134	0	No data	No data	0	0.5	0
CXCL12	0.4032090292983741	0.6185140541456116	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.89468364275925	No data	No data	0.5	0	1	1	1	0	0.6629199999999997	No data	0.3259012294227963	-0.926725398623038	0	No data	No data	No data	-1	-1
JCAD	0.4016348359810873	0.659214972165691	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.028876712886552	No data	No data	No data	0	0	0	0	0	0	No data	-0.5267764117524485	-0.5862804335650681	0	No data	No data	No data	-1	0
CD109	0.39863544145732627	0.6557250315717613	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	0.33736195040633454	-0.40809523394157665	0	No data	No data	0	1	0
TNF	0.3966685971590835	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	0.8911784887623833	No data	No data	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
KCNE2	0.39629346792968845	0.635040764998773	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3366379590667657	No data	No data	No data	1	0	0	0	0	0.22764000000000023	No data	0.9677016045009377	-0.316901144366277	0	No data	No data	0	1	0.5
